STATE,LATITUDE,LONGITUDE,FIRE_SIZE,markersize
AK,62.968858834210074,-149.16693525773417,32233094.2422,9.999999999999998
AL,32.7377172293832,-86.84593042770842,920545.255,1.2570222730083893
AR,34.74913784666077,-92.85238190610018,508911.83001,1.14208746307503
AZ,34.091172049570304,-111.3315946929123,5576680.93399,2.557091793120004
CA,37.43416698728752,-120.18229225949554,12745858.572,4.558843884129592
CO,38.93976655538748,-106.8920091424689,1842309.09,1.5143938680914255
CT,41.62654692638063,-72.7838879030426,11243.31,1.0031302421968777
DC,38.93276151515152,-77.03033498484848,32.5,1.0
DE,38.97771736345029,-75.41175778339182,4833.65,1.0013405598991991
FL,28.77594291939487,-82.52237200843243,4436748.15985,2.238803848607794
GA,32.60128117450716,-83.42764100187775,1589959.18006,1.44393363047501
HI,21.205122357887824,-157.7104550014674,252761.0,1.0705659461763795
IA,42.00906055167151,-93.20959042884373,71491.9636,1.0199526553680751
ID,45.24928493371437,-115.37191570669846,13684334.921,4.820881887486313
IL,39.17031945247959,-89.19419500421573,22807.515,1.006359158079347
IN,40.22886499604385,-86.81671239709247,17322.89,1.0048277607397211
KS,38.32993406739215,-96.64983220186498,922613.801,1.2575998450103574
KY,37.39711037369818,-83.89462213662482,1014890.784996,1.2833650938286758
LA,31.221612980761336,-92.25851009441509,661023.912977,1.1845596538229126
MA,42.162075512315305,-71.44810262961157,6124.73,1.001701050630515
MD,38.86706562759525,-76.59021167482054,67279.53,1.018776474752556
ME,44.863421340954375,-69.13336577855513,24555.64,1.006847263277849
MI,44.69502957595696,-85.39756320365169,140229.434,1.0391452855484737
MN,47.03193037686904,-94.15551889642096,1210605.42001,1.3380118329195487
MO,37.65175569261516,-92.27251541738038,459525.741,1.1282980562651863
MS,32.18346328371917,-89.46707320878544,1135483.8,1.3170366433611567
MT,47.09565326406702,-111.62548229984743,6279526.12018,2.753337707526218
NC,35.41843739732352,-79.78018450167698,730521.46001,1.2039645098772203
ND,47.828457573126116,-99.8965922928794,412607.23,1.1151976377453048
NE,41.458063254123914,-99.13471519688323,967398.7579,1.2701045401995303
NH,43.39722822228793,-71.55679253216965,3862.007,1.001069261222395
NJ,40.03181597992717,-74.61564036622221,131963.536,1.0368373111278308
NM,34.70912629020679,-106.55332734394044,6380041.7610100005,2.7814033245844216
NV,39.001217797297116,-116.30318656436718,9015855.34,3.5173657472869593
NY,42.157165186220105,-74.98245950565884,93771.972816,1.0261735997061512
OH,39.34057931486346,-82.41418673908021,23933.855,1.0066736506981704
OK,35.19548129184555,-95.36953809732024,3232490.31,1.9025552869497397
OR,43.894000050869074,-121.242886563079,8412801.37,3.348983178686774
PA,40.848868838383844,-77.10610471724058,54730.765529000004,1.0152726537025334
PR,18.159036768791267,-66.61354540222861,138688.42,1.0387150091412578
RI,41.69977452102083,-71.56003195968749,562.41,1.0001479595713911
SC,33.77597899777274,-80.63317982142988,541666.14498,1.151233005533507
SD,43.903823199899236,-101.22158595904595,1570865.60032,1.438602389557396
TN,35.699071320386786,-86.23412946549881,486652.40001,1.1358722647919044
TX,31.662203352275508,-97.11894558134094,9786218.30998,3.7324637353487904
UT,39.20122985954922,-111.66144789646478,4114926.35901,2.148945918550594
VA,37.50586779793019,-78.93129264028626,341645.81999,1.0953840471159708
VT,44.02820653440789,-72.75757229710526,1556.486,1.0004255219100717
WA,47.51838279244323,-120.21371313908364,4782218.31,2.3352647860209887
WI,44.829467312263894,-89.92735850533946,88675.266057,1.024750515507763
WV,38.39290408816315,-81.06830462741203,576631.05,1.160995781024611
WY,43.17335927731328,-107.72986709087604,2401470.6842,1.6705209647988237
